2000,4,10,2,8,S,0,10.97,0
2001,4,10,2,8,S,0,25.03,1,0,0
2002,4,10,2,6,U,0,13.11
2003,4,10,2,7,S,0,5.96,0
2004,4,10,2,7,S,0,5.96
2005,4,10,2,7,U,0,32.9
2006,4,10,2,8,S,0,4.05
2007,4,10,2,8,U,0,26.94
2008,4,10,2,8,S,0,4.05
2009,4,10,2,7,U,0,24.08
2010,8,16,2,16,U,0,464.92
2011,8,16,2,13,S,0,35.05,1,1,1,0
2012,8,16,2,15,S,0,126.84,0,0,1,0,0,0
2013,8,16,2,14,S,0,328.06,0,0,1,0,0,0,1
2014,8,16,2,14,U,0,405.07
2015,8,16,2,14,U,0,473.02
2016,8,16,2,13,S,0,237.94,1,0,0,1,1,0,0
2017,8,16,2,10,S,0,63.9,0,1,0,0,0
2018,8,16,2,13,U,0,493.05
2019,8,16,2,15,U,0,509.02
2020,12,24,2,22,U,0,7070.06
2021,12,24,2,22,S,0,2207.04,1,0,0,0,0,1,1,1,0,0
2022,12,24,2,21,U,0,3567.93
2023,12,24,2,21,U,0,5013.94
2024,12,24,2,20,S,0,92.03,1,0,0,1,0
2025,12,24,2,21,U,0,7614.85
2026,12,24,2,21,U,0,7272.96
2027,12,24,2,20,S,0,892.16,0,1,0,1,0,0,0,1
2028,12,24,2,20,S,0,3885.03,0,0,1,0,0,0,1,0,0,0,0
2029,12,24,2,19,U,0,7967.0
2030,16,32,2,28,U,0,113878.97
2031,16,32,2,28,U,0,109280.11
2032,16,32,2,28,U,0,107552.77
2033,16,32,2,30,S,0,25295.02,0,0,0,1,0,0,1,1,0,1,0,0,1
2034,16,32,2,25,U,0,60076.0
2035,16,32,2,28,U,0,117496.01
2036,16,32,2,28,S,0,71848.15,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
2037,16,32,2,31,U,0,118584.87
2038,16,32,2,29,U,0,129203.8
2039,16,32,2,31,U,0,106273.89
2040,18,36,2,29,U,0,460964.2
2041,18,36,2,31,U,0,218324.9
2042,18,36,2,33,U,0,382422.92
2043,18,36,2,32,U,0,433738.95
2044,18,36,2,29,U,0,391280.89
2045,18,36,2,31,S,0,59242.01,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0
2046,18,36,2,32,S,0,220413.92,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0
2047,18,36,2,32,U,0,235352.04
2048,18,36,2,30,U,0,488872.05
2049,18,36,2,34,U,0,467304.94
2050,20,40,2,36,U,0,1756557.94
2051,20,40,2,34,S,0,106210.23,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,0
2052,20,40,2,37,U,0,1729177.0
2053,20,40,2,35,U,0,889046.19
2054,20,40,2,38,S,0,698337.08,0,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,1
2055,20,40,2,34,U,0,1338776.11
2056,20,40,2,32,U,0,1467818.98
2057,20,40,2,35,S,0,1567026.14,1,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,1
2058,20,40,2,33,U,0,1867338.9
2059,20,40,2,34,S,0,886126.04,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1
2060,22,44,2,35,U,0,3669404.03
2061,22,44,2,38,U,0,7389887.09
2062,22,44,2,39,U,0,7158833.03
2063,22,44,2,42,U,0,7228167.06
2064,22,44,2,39,U,0,7503037.21
2065,22,44,2,39,U,0,7548986.91
2066,22,44,2,37,U,0,3819993.02
2067,22,44,2,39,U,0,8697088.96
2068,22,44,2,40,U,0,6579692.84
2069,22,44,2,36,U,0,3695230.01
2070,24,48,2,41,U,0,30186050.89
2071,24,48,2,42,U,0,28936347.96
2072,24,48,2,42,U,0,29540784.12
2073,24,48,2,42,S,0,696161.03,0,1,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,1
2074,24,48,2,39,U,0,29327461.0
2075,24,48,2,43,U,0,27619075.06
2076,24,48,2,39,U,0,15107046.13
2077,24,48,2,42,S,0,10486762.05,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0
2078,24,48,2,44,U,0,33548717.02
2079,24,48,2,41,U,0,17343876.12
2080,4,20,3,8,U,0,51.98
2081,4,20,3,8,S,0,34.09,1,0,0
2082,4,20,3,8,S,0,8.82
2083,4,20,3,8,S,0,12.16,0
2084,4,20,3,8,U,0,44.11
2085,4,20,3,8,S,0,30.99,0,0,0
2086,4,20,3,8,S,0,54.84,0,0,1
2087,4,20,3,8,U,0,56.03
2088,4,20,3,8,U,0,49.83
2089,4,20,3,8,S,0,18.84,0
2090,8,40,3,16,S,0,29.09,1
2091,8,40,3,16,U,0,869.99
2092,8,40,3,16,U,0,799.89
2093,8,40,3,16,S,0,988.01,0,1,1,0,0,1,0
2094,8,40,3,16,S,0,580.07,1,1,1,0,0,1,0
2095,8,40,3,16,S,0,188.83,1,0,0,1,0,0
2096,8,40,3,16,U,0,1060.01
2097,8,40,3,16,S,0,459.91,1,1,0,1,1,1
2098,8,40,3,16,U,0,684.98
2099,8,40,3,16,S,0,39.82,1,0
2100,12,60,3,24,U,0,15514.85
2101,12,60,3,24,U,0,11849.16
2102,12,60,3,24,U,0,14112.95
2103,12,60,3,24,S,0,335.93,0,1,0,1,0,0
2104,12,60,3,24,S,0,3762.96,0,1,1,1,0,1,0,0,0,0
2105,12,60,3,24,S,0,498.06,1,1,1,0,1,0
2106,12,60,3,24,U,0,16224.86
2107,12,60,3,24,U,0,13427.97
2108,12,60,3,24,U,0,15927.08
2109,12,60,3,24,S,0,4192.11,1,1,1,0,0,0,1,1,0,0
2110,16,80,3,32,U,0,244024.04
2111,16,80,3,32,S,0,145104.89,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0
2112,16,80,3,32,S,0,162621.02,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0
2113,16,80,3,32,U,0,215916.87
2114,16,80,3,32,U,0,225413.08
2115,16,80,3,32,S,0,107516.05,0,0,0,0,0,1,0,0,1,1,0,0,1,0
2116,16,80,3,32,U,0,237811.09
2117,16,80,3,32,U,0,218479.87
2118,16,80,3,32,U,0,235095.98
2119,16,80,3,31,U,0,234678.98
2120,18,90,3,35,U,0,808196.07
2121,18,90,3,36,S,0,799968.0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1
2122,18,90,3,36,U,0,956969.02
